Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M09;590
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M08;785
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M07;539
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M06;467
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M05;340
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M04;451
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M03;198
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M02;189
Total Nacional;14 Murcia, Región de;Viajero;Residentes en el Extranjero;2017M01;101
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M10;8.096
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M09;9.131
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M08;26.533
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M07;15.946
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M06;8.725
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M05;7.464
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M04;6.280
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M03;9.620
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M02;6.155
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2024M01;5.165
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M12;11.400
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M11;5.135
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M10;5.271
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M09;7.082
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M08;24.181
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M07;14.672
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M06;6.691
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M05;3.713
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M04;6.392
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M03;3.737
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M02;4.497
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2023M01;3.647
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M12;9.387
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M11;6.147
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M10;4.268
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M09;5.140
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M08;18.066
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M07;16.798
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M06;10.171
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M05;6.899
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M04;10.432
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M03;6.048
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M02;5.851
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2022M01;4.854
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M12;9.817
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M11;5.879
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M10;10.807
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M09;11.140
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M08;25.561
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M07;17.844
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M06;9.976
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M05;5.679
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M04;5.469
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M03;3.491
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M02;558
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2021M01;531
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M12;2.743
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M11;259
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M10;4.065
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M09;6.561
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M08;26.046
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M07;20.216
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M06;6.627
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M05;1.075
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M04;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M03;1.609
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M02;8.344
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2020M01;5.717
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M12;14.563
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M11;9.074
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M10;7.680
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M09;8.628
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M08;20.893
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M07;15.794
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M06;11.689
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M05;6.270
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M04;10.681
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M03;7.468
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M02;6.773
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2019M01;6.089
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M12;12.538
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M11;9.544
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M10;8.438
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M09;8.987
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M08;25.922
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M07;16.462
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M06;10.552
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M05;6.333
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M04;7.524
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M03;9.328
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M02;6.025
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2018M01;4.715
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M12;14.594
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M11;7.129
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M10;8.408
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M09;9.980
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M08;25.416
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M07;15.226
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M06;10.248
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M05;6.069
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M04;13.255
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M03;7.385
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M02;7.014
Total Nacional;14 Murcia, Región de;Pernoctaciones;Total;2017M01;5.311
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M10;5.686
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M09;7.757
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M08;24.229
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M07;13.282
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M06;7.731
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M05;5.289
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M04;5.172
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M03;8.550
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M02;5.222
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2024M01;4.098
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M12;11.013
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M11;4.597
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M10;4.525
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M09;6.099
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M08;21.554
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M07;12.780
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M06;5.994
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M05;3.113
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M04;6.051
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M03;3.385
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M02;3.798
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2023M01;3.437
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M12;8.759
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M11;5.168
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M10;3.696
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M09;4.672
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M08;15.575
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M07;14.389
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M06;8.897
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M05;6.098
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M04;9.045
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M03;5.394
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M02;5.214
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2022M01;4.574
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M12;9.300
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M11;5.315
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M10;9.226
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M09;9.990
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M08;23.201
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M07;16.646
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M06;9.354
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M05;5.574
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M04;5.238
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M03;3.447
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M02;547
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2021M01;482
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M12;2.741
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M11;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M10;4.020
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M09;6.157
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M08;24.922
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M07;19.646
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M06;6.589
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M05;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M04;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M03;1.346
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M02;7.757
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2020M01;5.518
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M12;13.560
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M11;8.459
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M10;6.625
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M09;7.046
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M08;19.125
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M07;13.263
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M06;10.310
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M05;4.560
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M04;8.566
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M03;6.539
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M02;6.231
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2019M01;5.757
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M12;11.294
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M11;8.104
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M10;7.103
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M09;7.502
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M08;22.346
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M07;13.717
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M06;8.586
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M05;4.847
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M04;5.828
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M03;8.449
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M02;5.176
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2018M01;4.040
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M12;13.950
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M11;6.633
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M10;7.438
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M09;8.675
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M08;21.945
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M07;13.294
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M06;9.058
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M05;5.169
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M04;11.738
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M03;6.762
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M02;6.412
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en España;2017M01;4.910
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M10;2.410
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M09;1.373
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M08;2.303
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M07;2.664
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M06;994
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M05;2.175
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M04;1.107
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M03;1.070
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M02;933
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2024M01;1.067
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M12;387
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M11;537
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M10;746
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M09;984
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M08;2.626
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M07;1.892
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M06;697
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M05;600
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M04;341
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M03;352
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M02;699
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2023M01;210
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M12;628
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M11;979
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M10;572
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M09;468
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M08;2.490
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M07;2.409
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M06;1.274
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M05;801
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M04;1.388
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M03;654
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M02;637
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2022M01;280
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M12;517
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M11;564
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M10;1.581
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M09;1.150
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M08;2.360
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M07;1.198
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M06;621
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M05;104
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M04;231
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M03;44
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M02;11
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2021M01;49
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M12;2
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M11;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M10;45
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M09;403
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M08;1.123
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M07;570
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M06;39
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M05;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M04;.
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M03;263
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M02;587
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2020M01;199
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M12;1.003
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M11;615
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M10;1.055
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M09;1.581
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M08;1.768
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M07;2.531
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M06;1.379
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M05;1.710
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M04;2.115
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M03;930
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M02;542
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2019M01;331
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M12;1.244
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M11;1.440
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M10;1.335
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M09;1.485
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M08;3.576
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M07;2.745
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M06;1.966
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M05;1.486
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M04;1.696
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M03;879
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M02;849
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2018M01;675
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M12;645
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M11;496
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M10;970
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M09;1.305
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M08;3.471
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M07;1.932
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M06;1.190
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M05;900
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M04;1.516
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M03;624
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M02;602
Total Nacional;14 Murcia, Región de;Pernoctaciones;Residentes en el Extranjero;2017M01;401
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M10;14.655
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M09;16.736
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M08;26.677
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M07;22.098
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M06;13.904
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M05;19.433
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M04;15.727
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M03;9.784
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M02;5.164
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2024M01;5.947
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M12;14.931
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M11;10.977
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M10;18.079
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M09;19.535
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M08;25.218
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M07;23.323
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M06;12.021
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M05;11.483
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M04;17.650
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M03;9.566
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M02;7.065
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2023M01;6.100
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M12;12.426
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M11;9.805
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M10;16.066
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M09;14.782
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M08;20.511
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M07;16.524
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M06;12.586
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M05;11.274
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M04;14.958
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M03;7.451
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M02;5.769
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2022M01;4.170
Total Nacional;15 Navarra, Comunidad Foral de;Viajero;Total;2021M12;10.285
