Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y pernoctaciones;Residencia;Periodo;Total
Total Nacional;;Pernoctaciones;Residentes en España;2020M01;289.188
Total Nacional;;Pernoctaciones;Residentes en España;2019M12;776.363
Total Nacional;;Pernoctaciones;Residentes en España;2019M11;543.782
Total Nacional;;Pernoctaciones;Residentes en España;2019M10;570.230
Total Nacional;;Pernoctaciones;Residentes en España;2019M09;669.151
Total Nacional;;Pernoctaciones;Residentes en España;2019M08;1.785.166
Total Nacional;;Pernoctaciones;Residentes en España;2019M07;1.092.819
Total Nacional;;Pernoctaciones;Residentes en España;2019M06;697.327
Total Nacional;;Pernoctaciones;Residentes en España;2019M05;553.155
Total Nacional;;Pernoctaciones;Residentes en España;2019M04;768.872
Total Nacional;;Pernoctaciones;Residentes en España;2019M03;486.163
Total Nacional;;Pernoctaciones;Residentes en España;2019M02;326.585
Total Nacional;;Pernoctaciones;Residentes en España;2019M01;251.440
Total Nacional;;Pernoctaciones;Residentes en España;2018M12;784.980
Total Nacional;;Pernoctaciones;Residentes en España;2018M11;530.099
Total Nacional;;Pernoctaciones;Residentes en España;2018M10;626.720
Total Nacional;;Pernoctaciones;Residentes en España;2018M09;674.832
Total Nacional;;Pernoctaciones;Residentes en España;2018M08;1.688.517
Total Nacional;;Pernoctaciones;Residentes en España;2018M07;1.006.319
Total Nacional;;Pernoctaciones;Residentes en España;2018M06;636.879
